Código;Classificação;Descrição da conta;Saldo Anterior;Débito;Crédito;Saldo Atual
336;3.2.20.104.1;INSS - ADM;7.954,69D;8.627,64;688,76;15.893,57D
337;3.2.20.105.1;FGTS - ADM;1.180,56D;1.864,19;188,12;2.856,63D
55163;3.2.20.106.1;ADICIONAL DE INSALUBRIDADE - ADM;303,60D;303,60;0,00;607,20D
339;3.2.20.111.1;ASSISTENCIA MEDICA E SOCIAL - ADM;12.301,17D;18.511,70;6.644,65;24.168,22D
492;3.2.20.112.1;VALE TRANSPORTE - ADM;284,32C;305,00;584,10;563,42C
521;3.2.20.113.1;ALIMENTACAO - ADM;9.602,40D;12.205,70;44,00;21.764,10D
56979;3.2.20.116.1;ESTAGIARIOS - ADM;123,98D;123,98;0,00;247,96D
340;3.2.20.2;ALUGUÉIS E ARRENDAMENTOS - ADM;4.700,00D;4.700,00;0,00;9.400,00D
341;3.2.20.200.1;ALUGUEIS/CONDOMINIOS DE IMOVEIS - ADM;4.700,00D;4.700,00;0,00;9.400,00D
345;3.2.20.3;IMPOSTOS, TAXAS E CONTRIBUIÇÕES;2.264,23D;2.270,32;0,00;4.534,55D
74363;3.2.20.300.1;IOF;0,00;6,09;0,00;6,09D
348;3.2.20.300.3;IPTU;889,23D;889,23;0,00;1.778,46D
75458;3.2.20.300.8;DESPESAS C/ ASSOCIACOES;1.375,00D;1.375,00;0,00;2.750,00D
353;3.2.20.4;DESPESAS GERAIS ADMINISTRATIVAS;56.815,93D;42.717,03;0,00;99.532,96D
57544;3.2.20.400.1;ASSESSORIA ADVOCATICIA;4.880,90D;4.880,90;0,00;9.761,80D
361;3.2.20.400.1;ASSISTENCIA CONTABIL - ADM;3.638,06D;5.138,06;0,00;8.776,12D
72053;3.2.20.400.1;CERTIFICADO DIGITAL;180,00D;0,00;0,00;180,00D
57575;3.2.20.400.1;COMBUSTIVEL P/ VEICULOS - ADM;1.542,10D;1.194,60;0,00;2.736,70D
74545;3.2.20.400.1;CONDOMINIO;4.150,35D;4.499,42;0,00;8.649,77D
72363;3.2.20.400.1;CONFRATERNIZAÇÕES;300,35D;229,95;0,00;530,30D
56982;3.2.20.400.1;COPA E COZINHA / LIMPEZA - ADM;1.335,01D;2.347,94;0,00;3.682,95D
357;3.2.20.400.1;CORREIOS E INTERNET - ADM;99,76D;0,00;0,00;99,76D
363;3.2.20.400.1;DEPRECIACOES E AMORTIZACOES - ADM;304,48D;304,48;0,00;608,96D
56981;3.2.20.400.1;DESPESAS C/VEICULOS - ADM;139,80D;139,80;0,00;279,60D
74604;3.2.20.400.1;DESPESAS COM DESLOCAMENTO;1.317,47D;426,07;0,00;1.743,54D
74602;3.2.20.400.1;DESPESAS COM HOME OFFICE;1.183,31D;1.379,99;0,00;2.563,30D
74595;3.2.20.400.1;DESPESAS COM PROVEDOR;3.979,30D;3.876,92;0,00;7.856,22D
74540;3.2.20.400.1;DESPESAS COM REPRESENTAÇAO;5.800,00D;5.800,00;0,00;11.600,00D
74538;3.2.20.400.1;DESPESAS COM SISTEMA DE SOFTWARE;7.003,24D;5.545,32;0,00;12.548,56D
74594;3.2.20.400.1;DESPESAS COM VIAGENS;446,40D;0,00;0,00;446,40D
354;3.2.20.400.1;ENERGIA ELETRICA;1.049,70D;1.264,89;0,00;2.314,59D
74532;3.2.20.400.1;ESTACIONAMENTO;870,00D;870,00;0,00;1.740,00D
74596;3.2.20.400.1;FEIRAS E EVENTOS;12.146,76D;699,29;0,00;12.846,05D
74536;3.2.20.400.1;IMPRESSOS E FOTOCOPIAS;0,00;228,00;0,00;228,00D
56970;3.2.20.400.1;INFORMATICA - ADM;39,89D;39,89;0,00;79,78D
56983;3.2.20.400.1;LANCHES E REFEICOES - ADM;58,00D;0,00;0,00;58,00D
75321;3.2.20.400.1;LOCACAO DE ARQUIVOS - ESPAÇO;350,00D;350,00;0,00;700,00D
359;3.2.20.400.1;MATERIAL DE ESCRITORIO - ADM;0,00;134,82;0,00;134,82D
72703;3.2.20.400.1;MOTOBOY - ADM;144,49D;84,81;0,00;229,30D
74519;3.2.20.400.1;PROPAGANDA E PUBLICIDADE;1.600,00D;0,00;0,00;1.600,00D
358;3.2.20.400.1;SEGUROS - ADM;105,91D;0,00;0,00;105,91D
356;3.2.20.400.1;TELEFONES - ADM;4.150,65D;3.281,88;0,00;7.432,53D
367;3.2.20.5;DESPESAS FINANCEIRAS;3.998,02D;2.369,82;0,00;6.367,84D
372;3.2.20.500.5;JUROS / IOF PAGOS;1.672,01D;1.574,47;0,00;3.246,48D
56985;3.2.20.500.9;DESPESAS BANCARIAS;2.326,01D;795,35;0,00;3.121,36D
402;4;CONTAS DE RESULTADO - RECEITAS;295.278,78C;18.420,21;326.470,08;603.328,65C
403;4.1;RECEITAS OPERACIONAIS;295.278,78C;18.420,21;326.470,08;603.328,65C
404;4.1.1;RECEITA BRUTA DE VENDAS E SERVIÇOS;310.444,74C;0,00;326.021,42;636.466,16C
410;4.1.10.2;RECEITA DE PRESTAÇÃO DE SERVIÇOS;310.444,74C;0,00;326.021,42;636.466,16C
411;4.1.10.200.1;SERVIÇOS PRESTADOS;310.444,74C;0,00;326.021,42;636.466,16C
413;4.1.2;(-) DEDUÇÕES DA RECEITA BRUTA;17.540,12D;18.420,21;0,00;35.960,33D
424;4.1.20.3;(-) IMPOSTOS SOBRE VENDAS E SERVIÇOS;17.540,12D;18.420,21;0,00;35.960,33D
428;4.1.20.300.1;(-) COFINS S/ FATURAMENTO;9.313,34D;9.780,64;0,00;19.093,98D
427;4.1.20.300.1;(-) ISSQN S/ SERVICOS;6.208,89D;6.520,43;0,00;12.729,32D
429;4.1.20.300.1;(-) PIS S/ FATURAMENTO;2.017,89D;2.119,14;0,00;4.137,03D
430;4.1.3;RECEITAS FINANCEIRAS;2.374,16C;0,00;448,66;2.822,82C
431;4.1.30.1;JUROS E DESCONTOS RECEBIDOS;2.373,91C;0,00;444,45;2.818,36C
433;4.1.30.100.1;JUROS RECEBIDOS;272,48C;0,00;384,86;657,34C
432;4.1.30.100.1;RENDIMENTOS DE APLICACOES FINANCEIRAS;2.101,43C;0,00;59,59;2.161,02C
436;4.1.30.2;VARIAÇÕES MONETÁRIAS;0,25C;0,00;4,21;4,46C
437;4.1.30.200.1;VARIAÇÕES MONETÁRIAS ATIVAS;0,25C;0,00;4,21;4,46C
;;**RESUMO DO BALANCETE**;;;;
;;ATIVO;4.960.556,92D;830.571,04;740.697,62;5.050.430,34D
;;PASSIVO;5.007.461,37C;328.778,30;445.111,46;5.123.794,53C
;;PATRIMÔNIO LÍQUIDO;768.788,48D;0,00;0,00;768.788,48D
;;CONTAS DE RESULTADOS - CUSTOS E DESPESAS;342.183,23D;346.452,62;11.943,01;676.692,84D
;;CONTAS DE RESULTADO - RECEITAS;295.278,78C;18.420,21;326.470,08;603.328,65C
;;CONTAS DE APURAÇÃO;0,00;0,00;0,00;0,00
;;CONTAS DEVEDORAS;5.302.740,15D;1.177.023,66;752.640,63;5.727.123,18D
;;CONTAS CREDORAS;4.533.951,67C;347.198,51;771.581,54;4.958.334,70C
;;RESULTADO DO MES;0,00;334.509,61;308.049,87;26.459,74D
;;RESULTADO DO EXERCÍCIO;46.904,45D;676.692,84;603.328,65;73.364,19D
